"0 = unlimited","0 = unlimited"
"Action:","Action:"
"Action","Action"
"Action type:","Action type:"
"Action type","Action type"
"Activation Event","Activation Event"
"Active","Active"
"Active from","Active from"
"Active to","Active to"
"admin visible only","admin visible only"
"Appearing","Appearing"
"Are you sure?","Are you sure?"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Automation","Automation"
"Blink","Blink"
"Bottom-Center","Bottom-Center"
"Bottom-Left","Bottom-Left"
"Bottom-Right","Bottom-Right"
"Cart update","Cart update"
"Change customer group to","Change customer group to"
"Change status","Change status"
"Click here to select","Click here to select"
"Conditions","Conditions"
"Conditions Information","Conditions Information"
"CSV","CSV"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer not Login","Customer not Login"
"days","days"
"Delete","Delete"
"Delete error","Delete error"
"Design","Design"
"Design package","Design package"
"Discounts earned","Discounts earned"
"Discounts earned in base currency","Discounts earned in base currency"
"Duration","Duration"
"Duration should be greater than 1 second.","Duration should be greater than 1 second."
"Edit Timer '%s'","Edit Timer '%s'"
"e.g. DF0F62","e.g. DF0F62"
"Empty action","Empty action"
"Ending date must be greater than start date","Ending date must be greater than start date"
"Event Based Discounts","Event Based Discounts"
"Event based discount timer","Event based discount timer"
"Event","Event"
"Event type","Event type"
"Excel XML","Excel XML"
"Fade","Fade"
"Fixed discount","Fixed discount"
"Font color on ending","Font color on ending"
"Font color shown on ending","Font color shown on ending"
"frontend only","frontend only"
"General","General"
"hours : minutes : seconds","hours : minutes : seconds"
"hrs","hrs"
"HTML tags are allowed","HTML tags are allowed"
"ID","ID"
"Log in","Log in"
"Middle-Center","Middle-Center"
"Middle-Left","Middle-Left"
"Middle-Right","Middle-Right"
"min","min"
"Missed","Missed"
"New registration","New registration"
"New Timer","New Timer"
"None","None"
"Open URL in new window","Open URL in new window"
"Percent discount","Percent discount"
"Place order","Place order"
"Please select item(s)","Please select item(s)"
"Promo","Promo"
"Rules","Rules"
"Run per customer","Run per customer"
"Run timer count","Run timer count"
"Run timer limit (per customer)","Run timer limit (per customer)"
"Run timer limit","Run timer limit"
"Save And Continue Edit","Save And Continue Edit"
"sec","sec"
"Slide","Slide"
"Statistics","Statistics"
"Status","Status"
"Store","Store"
"Store View","Store View"
"This timer no longer exists","This timer no longer exists"
"Timer in progress","Timer in progress"
"Timer List","Timer List"
"Timer missed","Timer missed"
"Timer name","Timer name"
"Timer notice","Timer notice"
"Timer position","Timer position"
"Timer preview","Timer preview"
"Timer","Timer"
"Timer title","Timer title"
"Timer used","Timer used"
"Timer was successfully deleted","Timer was successfully deleted"
"Timer was successfully saved","Timer was successfully saved"
"Title","Title"
"Top-Center","Top-Center"
"Top-Left","Top-Left"
"Top-Right","Top-Right"
"Total runs","Total runs"
"Total Runs","Total Runs"
"Trigger not found for this customer","Trigger not found for this customer"
"Triggers","Triggers"
"Unlimited","Unlimited"
"URL","URL"
"Used","Used"
"Will used for timers with non product page position.","Will used for timers with non product page position."